region id,original country,city id,city,lat,lon,region,resources,neighbours,region link,zone_id,battle_start,current country,invader,invader allies,defender allies,battle url,invader points,defender points,war_type,div_1,epic_1,end_t_1,div_2,epic_2,end_t_2,div_3,epic_3,end_t_3,div_4,epic_4,end_t_4,div_air,epic_air,end_t_air
41,USA,211,Juneau,58.3019444,-134.4197222,Alaska,,"Yukon, British Columbia, Far Eastern Russia, Washington, Hokkaido",https://www.erepublik.com/en/main/region/Alaska,2.0,1771155244.0,USA,Japan,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870209,0.0,18.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,
42,USA,175,Phoenix,33.4483771,-112.0740373,Arizona,,"New Mexico, Utah, California, Northwest of Mexico, Nevada",https://www.erepublik.com/en/main/region/Arizona,5.0,1771152365.0,Australia,USA,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870105,17.0,55.0,direct,0.0,0.0,,50.0,0.0,,50.0,0.0,,91.32,0.0,,62.47,0.0,
43,USA,185,Little Rock,34.7464809,-92.2895948,Arkansas,,"Mississippi, Missouri, Tennessee, Oklahoma, Louisiana, Texas",https://www.erepublik.com/en/main/region/Arkansas,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
44,USA,173,Sacramento,38.5815719,-121.4943996,California,,"Nevada, Arizona, Oregon, Baja, Hawaii, Northwest of Mexico",https://www.erepublik.com/en/main/region/California,,,USA,,,,,,,,,,,,,,,,,,,,,,
45,USA,32,Denver,39.737567,-104.9847179,Colorado,,"Utah, Wyoming, New Mexico, Nebraska, Kansas, Oklahoma",https://www.erepublik.com/en/main/region/Colorado,,,USA,,,,,,,,,,,,,,,,,,,,,,
46,USA,203,Hartford,41.7637111,-72.6850932,Connecticut,,"New York, Rhode Island, Shannon, Cork, Wales, South West of England, Massachusetts",https://www.erepublik.com/en/main/region/Connecticut,1.0,1771153885.0,USA,Bulgaria,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870255,0.0,0.0,direct,44.44,0.0,,50.0,0.0,,50.0,0.0,,61.64,0.0,,38.36,0.0,
47,USA,196,Dover,39.158168,-75.5243682,Delaware,,"Maryland, Pennsylvania, New Jersey, Pays de la Loire, Brittany",https://www.erepublik.com/en/main/region/Delaware,1.0,1771152022.0,Poland,USA,No Allies,Finland,https://www.erepublik.com/en/military/battlefield/870242,0.0,0.0,direct,27.319999999999993,0.0,,50.0,0.0,,50.0,0.0,,19.14,0.0,,32.620000000000005,0.0,
48,USA,189,Tallahassee,30.4382559,-84.2807329,Florida,,"Alabama, Georgia, Mississippi, Western Cuba, Las Villas",https://www.erepublik.com/en/main/region/Florida,,,USA,,,,,,,,,,,,,,,,,,,,,,
49,USA,37,Atlanta,33.7489954,-84.3879824,Georgia,,"South Carolina, Alabama, Tennessee, Florida, Galicia, Azores, North Carolina",https://www.erepublik.com/en/main/region/Georgia,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
50,USA,212,Honolulu,21.3069444,-157.8583333,Hawaii,,"Kyushu, California, Eastern Taiwan, Visayas, Papua",https://www.erepublik.com/en/main/region/Hawaii,4.0,1771152125.0,USA,Indonesia,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870123,6.0,48.0,direct,0.0,0.0,,50.0,0.0,,0.0,0.0,,0.0,0.0,,28.519999999999996,0.0,
51,USA,171,Boise,43.613739,-116.237651,Idaho,,"Utah, Montana, Oregon, Washington, British Columbia, Nevada, Wyoming",https://www.erepublik.com/en/main/region/Idaho,,,Greece,,,,,,,,,,,,,,,,,,,,,,
52,USA,199,Springfield,39.80172,-89.64371,Illinois,,"Indiana, Missouri, Wisconsin, Iowa, Kentucky",https://www.erepublik.com/en/main/region/Illinois,9.0,1771154405.0,United Arab Emirates,Colombia,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870050,44.0,103.0,direct,50.0,0.0,,50.0,0.0,,100.0,1.0,,100.0,0.0,,75.76,0.0,
53,USA,198,Indianapolis,39.7685155,-86.1580736,Indiana,,"Ohio, Kentucky, Illinois, Michigan",https://www.erepublik.com/en/main/region/Indiana,6.0,1771153687.0,Thailand,USA,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870092,29.0,61.0,direct,43.75,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,,48.09,0.0,
54,USA,183,Des Moines,41.6005448,-93.6091064,Iowa,,"Missouri, Nebraska, Wisconsin, Minnesota, Illinois, South Dakota",https://www.erepublik.com/en/main/region/Iowa,5.0,1771150506.0,Czech Republic,USA,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870095,19.0,53.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,,35.41,0.0,
55,USA,213,Topeka,39.0558235,-95.6890185,Kansas,,"Missouri, Nebraska, Oklahoma, Colorado",https://www.erepublik.com/en/main/region/Kansas,1.0,1771155202.0,Israel,USA,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870261,0.0,0.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,
56,USA,193,Frankfort,38.2009055,-84.8732835,Kentucky,"Saltpeter, Aluminum, Oil, Rubber","West Virginia, Ohio, Tennessee, Indiana, Virginia, Illinois, Missouri",https://www.erepublik.com/en/main/region/Kentucky,,,USA,,,,,,,,,,,,,,,,,,,,,,
57,USA,186,Baton Rouge,30.4582829,-91.1403196,Louisiana,,"Texas, Mississippi, Arkansas",https://www.erepublik.com/en/main/region/Louisiana,,,Romania,,,,,,,,,,,,,,,,,,,,,,
58,USA,217,Augusta,44.31062,-69.77949,Maine,,"New Hampshire, Quebec, New Brunswick, Nova Scotia, Shannon, Cork, Wales, South West of England",https://www.erepublik.com/en/main/region/Maine,,,USA,,,,,,,,,,,,,,,,,,,,,,
59,USA,195,Annapolis,38.9784453,-76.4921829,Maryland,,"District of Columbia, Delaware, Pennsylvania, Aquitaine, Poitou Charentes, Virginia, West Virginia",https://www.erepublik.com/en/main/region/Maryland,,,USA,,,,,,,,,,,,,,,,,,,,,,
60,USA,206,Boston,42.3584308,-71.0597732,Massachusetts,,"Rhode Island, New Hampshire, Shannon, Cork, Wales, South West of England, New York, Vermont, Connecticut",https://www.erepublik.com/en/main/region/Massachusetts,,,USA,,,,,,,,,,,,,,,,,,,,,,
61,USA,201,Lansing,42.732535,-84.5555347,Michigan,,"Ohio, Indiana, Wisconsin, Ontario, Manitoba, Minnesota",https://www.erepublik.com/en/main/region/Michigan,,,USA,,,,,,,,,,,,,,,,,,,,,,
62,USA,182,Saint Paul,44.9537029,-93.0899578,Minnesota,,"Wisconsin, South Dakota, Iowa, Manitoba, Saskatchewan, North Dakota, Michigan",https://www.erepublik.com/en/main/region/Minnesota,,,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,
63,USA,187,Jackson,32.2987573,-90.1848103,Mississippi,,"Louisiana, Alabama, Arkansas, Tennessee, Florida",https://www.erepublik.com/en/main/region/Mississippi,,,Romania,,,,,,,,,,,,,,,,,,,,,,
64,USA,184,Jefferson City,38.5767017,-92.1735164,Missouri,,"Iowa, Arkansas, Kansas, Illinois, Oklahoma, Kentucky, Tennessee, Nebraska",https://www.erepublik.com/en/main/region/Missouri,,,USA,,,,,,,,,,,,,,,,,,,,,,
65,USA,170,Helena,46.5958056,-112.0270306,Montana,,"Idaho, North Dakota, Wyoming, British Columbia, Saskatchewan, Alberta, South Dakota",https://www.erepublik.com/en/main/region/Montana,7.0,1771151464.0,Egypt,Spain,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870062,19.0,89.0,direct,50.0,0.0,,100.0,0.0,,50.0,0.0,,46.25,0.0,,35.349999999999994,0.0,
66,USA,180,Lincoln,40.806862,-96.681679,Nebraska,,"Iowa, Colorado, Kansas, South Dakota, Missouri, Wyoming",https://www.erepublik.com/en/main/region/Nebraska,4.0,1771154585.0,USA,Portugal,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870131,12.0,42.0,direct,43.75,0.0,,50.0,0.0,,50.0,0.0,,100.0,0.0,,13.099999999999994,0.0,
67,USA,174,Carson City,39.1637984,-119.7674034,Nevada,,"Utah, California, Oregon, Arizona, Idaho",https://www.erepublik.com/en/main/region/Nevada,9.0,1771151106.0,Sweden,Netherlands,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870041,5.0,139.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,3.049999999999997,0.0,,22.810000000000002,0.0,
68,USA,207,Concord,43.20814,-71.53757,New Hampshire,,"Massachusetts, Vermont, Maine, Quebec",https://www.erepublik.com/en/main/region/New-Hampshire,,,Romania,,,,,,,,,,,,,,,,,,,,,,
69,USA,210,Trenton,40.2170534,-74.7429384,New Jersey,,"Delaware, Pennsylvania, Wales, South West of England, Pays de la Loire, Brittany, New York",https://www.erepublik.com/en/main/region/New-Jersey,5.0,1771151588.0,Italy,United Kingdom,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870099,5.0,67.0,direct,46.67,0.0,,50.0,0.0,,50.0,0.0,,100.0,0.0,,43.95,0.0,
70,USA,177,Santa Fe,35.6869752,-105.937799,New Mexico,,"Colorado, Oklahoma, Arizona, Northwest of Mexico, Texas",https://www.erepublik.com/en/main/region/New-Mexico,6.0,1771155429.0,North Macedonia,USA,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870090,17.0,73.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,
71,USA,204,Albany,42.6525793,-73.7562317,New York,,"Vermont, Connecticut, Ontario, Quebec, Shannon, Cork, Wales, South West of England, Pennsylvania, Massachusetts, New Jersey",https://www.erepublik.com/en/main/region/New-York,4.0,1771153924.0,Republic of China (Taiwan),Canada,Estonia,No Allies,https://www.erepublik.com/en/military/battlefield/870132,0.0,54.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,,37.96,0.0,
72,USA,192,Raleigh,35.772096,-78.6386145,North Carolina,,"South Carolina, Virginia, Aquitaine, Tennessee, Georgia",https://www.erepublik.com/en/main/region/North-Carolina,,,USA,,,,,,,,,,,,,,,,,,,,,,
73,USA,28,Bismarck,46.8083268,-100.7837392,North Dakota,,"Montana, South Dakota, Saskatchewan, Minnesota",https://www.erepublik.com/en/main/region/North-Dakota,8.0,1771151464.0,USA,Republic of Moldova,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870052,24.0,102.0,direct,41.67,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,,45.3,0.0,
74,USA,197,Columbus,39.9611755,-82.9987942,Ohio,,"West Virginia, Kentucky, Indiana, Michigan, Ontario, Pennsylvania",https://www.erepublik.com/en/main/region/Ohio,,,USA,,,,,,,,,,,,,,,,,,,,,,
75,USA,179,Oklahoma City,35.4675602,-97.5164276,Oklahoma,,"Texas, Arkansas, Missouri, Kansas, New Mexico, Colorado",https://www.erepublik.com/en/main/region/Oklahoma,,,North Macedonia,,,,,,,,,,,,,,,,,,,,,,
76,USA,172,Salem,44.9429,-123.0351,Oregon,,"Idaho, Washington, California, Nevada",https://www.erepublik.com/en/main/region/Oregon,1.0,1771150162.0,Netherlands,USA,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870229,0.0,0.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,,44.61,0.0,
77,USA,202,Harrisburg,40.2737002,-76.8844179,Pennsylvania,,"Maryland, Delaware, New Jersey, Ontario, Ohio, West Virginia, New York",https://www.erepublik.com/en/main/region/Pennsylvania,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
78,USA,205,Providence,41.8239891,-71.4128343,Rhode Island,,"Massachusetts, Connecticut, Shannon, Cork, Wales, South West of England",https://www.erepublik.com/en/main/region/Rhode-Island,,,Bulgaria,,,,,,,,,,,,,,,,,,,,,,
79,USA,190,Columbia,34.0007104,-81.0348144,South Carolina,,"North Carolina, Georgia, Galicia",https://www.erepublik.com/en/main/region/South-Carolina,,,Finland,,,,,,,,,,,,,,,,,,,,,,
80,USA,181,Pierre,44.3683156,-100.3509665,South Dakota,,"Wyoming, Nebraska, North Dakota, Minnesota, Iowa, Montana",https://www.erepublik.com/en/main/region/South-Dakota,2.0,1771151046.0,Portugal,Egypt,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870185,0.0,18.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,,40.16,0.0,
81,USA,191,Nashville,36.1666667,-86.7833333,Tennessee,,"Kentucky, Arkansas, Alabama, Georgia, Virginia, North Carolina, Mississippi, Missouri",https://www.erepublik.com/en/main/region/Tennessee,2.0,1771149008.0,USA,Lithuania,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870163,5.0,24.0,direct,30.549999999999997,0.0,1771154464.0,50.0,0.0,1771154464.0,50.0,0.0,1771154464.0,45.55,0.0,1771154464.0,49.93,0.0,
82,USA,178,Austin,30.267153,-97.7430608,Texas,,"Oklahoma, Louisiana, Northeast of Mexico, Northwest of Mexico, Arkansas, New Mexico",https://www.erepublik.com/en/main/region/Texas,,,USA,,,,,,,,,,,,,,,,,,,,,,
83,USA,33,Salt Lake City,40.7607793,-111.8910474,Utah,,"Colorado, Idaho, Nevada, Wyoming, Arizona",https://www.erepublik.com/en/main/region/Utah,,,USA,,,,,,,,,,,,,,,,,,,,,,
84,USA,209,Montpelier,44.2600593,-72.5753869,Vermont,,"New York, New Hampshire, Quebec, Massachusetts",https://www.erepublik.com/en/main/region/Vermont,1.0,1771149681.0,USA,Romania,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870228,0.0,6.0,direct,0.0,0.0,1771155123.0,50.0,0.0,1771155123.0,45.34,0.0,1771155123.0,94.91,0.0,,74.56,0.0,
85,USA,27,Richmond,37.5407246,-77.4360481,Virginia,"Grain, Fruits, Cattle, Deer","District of Columbia, West Virginia, North Carolina, Aquitaine, Asturias, Cantabria, Maryland, Tennessee, Kentucky",https://www.erepublik.com/en/main/region/Virginia,10.0,1771150804.0,USA,France,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870027,17.0,145.0,direct,42.86,0.0,,50.0,0.0,,0.0,0.0,,0.060000000000002274,0.0,,48.77,0.0,
86,USA,215,Olympia,47.0378741,-122.9006951,Washington,,"Oregon, Idaho, British Columbia, Alaska",https://www.erepublik.com/en/main/region/Washington,,,USA,,,,,,,,,,,,,,,,,,,,,,
87,USA,194,Charleston,38.34982,-81.63262,West Virginia,Iron,"Virginia, Ohio, Kentucky, Maryland, Pennsylvania",https://www.erepublik.com/en/main/region/West-Virginia,,,USA,,,,,,,,,,,,,,,,,,,,,,
88,USA,200,Madison,43.0730517,-89.4012302,Wisconsin,,"Iowa, Michigan, Minnesota, Illinois",https://www.erepublik.com/en/main/region/Wisconsin,,,Colombia,,,,,,,,,,,,,,,,,,,,,,
89,USA,176,Cheyenne,41.1399814,-104.8202462,Wyoming,,"Colorado, Utah, South Dakota, Montana, Idaho, Nebraska",https://www.erepublik.com/en/main/region/Wyoming,,,Serbia,,,,,,,,,,,,,,,,,,,,,,
90,USA,24,Washington D.C.,38.8951118,-77.0363658,District of Columbia,Fish,"Virginia, Maryland",https://www.erepublik.com/en/main/region/District-of-Columbia,,,USA,,,,,,,,,,,,,,,,,,,,,,
91,Republic of Moldova,271,Balti,47.75494,27.913,Northern Basarabia,"Fish, Iron","Chisinau, Bucovina, Transnistria, Podolia, Bukovyna, Moldova",https://www.erepublik.com/en/main/region/Northern-Basarabia,7.0,1771151106.0,Sweden,Republic of Moldova,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870063,12.0,96.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,,56.14,0.0,
92,Republic of Moldova,274,Chisinau,47.026859,28.841551,Chisinau,"Fish, Iron, Magnesium","Northern Basarabia, Southern Basarabia, Moldova, Transnistria",https://www.erepublik.com/en/main/region/Chisinau,,,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,
93,Republic of Moldova,272,Cahul,45.9075,28.19444,Southern Basarabia,"Iron, Limestone","Chisinau, Transnistria, Moldova, Dobrogea, Bassarabia",https://www.erepublik.com/en/main/region/Southern-Basarabia,3.0,1771155065.0,Latvia,Republic of Moldova,No Allies,Belgium,https://www.erepublik.com/en/military/battlefield/870162,5.0,31.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,
94,Republic of Moldova,273,Tiraspol,46.845238,29.633101,Transnistria,"Sand, Clay, Wood","Bassarabia, Southern Basarabia, Northern Basarabia, Chisinau, Podolia",https://www.erepublik.com/en/main/region/Transnistria,,,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,
95,Canada,19,Ottawa,45.4215296,-75.6971931,Ontario,,"Quebec, New York, Michigan, Ohio, Pennsylvania, Manitoba",https://www.erepublik.com/en/main/region/Ontario,2.0,1771152845.0,Iran,Belarus,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870199,8.0,10.0,direct,99.75,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,,39.3,0.0,
96,Canada,226,Charlottetown,46.23824,-63.1310704,Prince Edward Island,,"New Brunswick, Nova Scotia, Newfoundland and Labrador",https://www.erepublik.com/en/main/region/Prince-Edward-Island,,,Poland,,,,,,,,,,,,,,,,,,,,,,
97,Canada,22,Edmonton,53.544389,-113.4909267,Alberta,,"British Columbia, Northwest Territories, Saskatchewan, Montana",https://www.erepublik.com/en/main/region/Alberta,,,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,
98,Canada,223,Fredericton,45.9635895,-66.6431151,New Brunswick,,"Prince Edward Island, Quebec, Nova Scotia, Maine",https://www.erepublik.com/en/main/region/New-Brunswick,10.0,1771154584.0,Poland,Canada,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870026,118.0,44.0,resistance,50.0,0.0,,50.0,0.0,,50.0,0.0,,46.35,0.0,,87.43,0.0,
99,Canada,222,Halifax,44.6488625,-63.5753196,Nova Scotia,,"Prince Edward Island, New Brunswick, Maine, Pays de la Loire, Brittany, Newfoundland and Labrador",https://www.erepublik.com/en/main/region/Nova-Scotia,,,Canada,,,,,,,,,,,,,,,,,,,,,,
100,Canada,21,Quebec City,46.816667,-71.216667,Quebec,,"Ontario, New Brunswick, Vermont, New York, New Hampshire, Maine, Newfoundland and Labrador, Nunavut",https://www.erepublik.com/en/main/region/Quebec,2.0,1771150924.0,Canada,Iran,No Allies,Estonia,https://www.erepublik.com/en/military/battlefield/870178,1.0,17.0,direct,33.33,0.0,,50.0,0.0,,50.0,0.0,,16.930000000000007,0.0,,48.0,0.0,
101,Canada,220,Regina,50.4547222,-104.6066667,Saskatchewan,,"Alberta, Manitoba, Montana, North Dakota, Northwest Territories, Minnesota",https://www.erepublik.com/en/main/region/Saskatchewan,9.0,1771153084.0,Spain,Canada,Estonia,No Allies,https://www.erepublik.com/en/military/battlefield/870048,14.0,130.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,100.0,0.0,,29.409999999999997,0.0,
102,Canada,224,St. Johns,47.5605413,-52.7128315,Newfoundland and Labrador,,"Prince Edward Island, Nunavut, Mayo, Shannon, Cork, Scotland, Wales, South West of England, Quebec, Nova Scotia, Azores",https://www.erepublik.com/en/main/region/Newfoundland,3.0,1771154824.0,Canada,United Kingdom,No Allies,Estonia,https://www.erepublik.com/en/military/battlefield/870161,7.0,29.0,direct,53.33,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,
103,Canada,219,Victoria,48.4284207,-123.3656444,British Columbia,,"Alberta, Yukon, Washington, Alaska, Idaho",https://www.erepublik.com/en/main/region/British-Columbia,,,Canada,,,,,,,,,,,,,,,,,,,,,,
104,Canada,23,Whitehorse,60.7211871,-135.0568449,Yukon,"Grain, Deer","Alaska, British Columbia, Northwest Territories",https://www.erepublik.com/en/main/region/Yukon,,,Canada,,,,,,,,,,,,,,,,,,,,,,
105,Canada,221,Winnipeg,49.8997541,-97.1374937,Manitoba,,"Saskatchewan, Minnesota, Ontario, Nunavut, Michigan",https://www.erepublik.com/en/main/region/Manitoba,,,Netherlands,,,,,,,,,,,,,,,,,,,,,,
106,Canada,218,Yellowknife,62.4539717,-114.3717886,Northwest Territories,"Iron, Saltpeter, Aluminum, Oil","Alberta, Yukon, Nunavut, Saskatchewan",https://www.erepublik.com/en/main/region/Northwest-Territories,,,Canada,,,,,,,,,,,,,,,,,,,,,,
107,Canada,275,Iqaluit,63.746693,-68.5169669,Nunavut,"Rubber, Granite, Neodymium, Cobalt","Newfoundland and Labrador, Manitoba, Quebec, Northwest Territories",https://www.erepublik.com/en/main/region/Nunavut,4.0,1771154765.0,Canada,Netherlands,No Allies,Estonia,https://www.erepublik.com/en/military/battlefield/870142,5.0,49.0,direct,50.0,0.0,,50.0,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,
108,Hungary,131,Gyor,47.684051,17.6351011,Western Transdanubia,"Fish, Fruits, Cattle","Central Transdanubia, Bratislava, Burgenland, Southern Transdanubia, Western Slovakia, Northwest Croatia, Prekmurje",https://www.erepublik.com/en/main/region/Western-Transdanubia,,,Hungary,,,,,,,,,,,,,,,,,,,,,,
109,Hungary,132,Pecs,46.0712989,18.2331874,Southern Transdanubia,"Magnesium, Titanium, Wolfram","Southern Great Plain, Central Transdanubia, Western Transdanubia, Slavonia",https://www.erepublik.com/en/main/region/Southern-Transdanubia,,,Hungary,,,,,,,,,,,,,,,,,,,,,,
110,Hungary,276,Szekesfehervar,47.1887157,18.4138088,Central Transdanubia,"Fruits, Cattle, Iron, Aluminum","Central Hungary, Western Transdanubia, Southern Transdanubia, Southern Great Plain, Western Slovakia",https://www.erepublik.com/en/main/region/Central-Transdanubia,,,Hungary,,,,,,,,,,,,,,,,,,,,,,
111,Hungary,12,Budapest,47.4984056,19.0407578,Central Hungary,,"Central Transdanubia, Northern Hungary, Northern Great Plain, Southern Great Plain, Western Slovakia",https://www.erepublik.com/en/main/region/Central-Hungary,4.0,1771153024.0,Romania,Hungary,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870119,44.0,38.0,resistance,100.0,0.0,,100.0,0.0,,100.0,0.0,,66.17,0.0,,70.77,0.0,
112,Hungary,129,Miskolc,48.1043854,20.7913563,Northern Hungary,,"Central Hungary, Northern Great Plain, Eastern Slovakia, Central Slovakia, Subcarpathia",https://www.erepublik.com/en/main/region/Northern-Hungary,,,Montenegro,,,,,,,,,,,,,,,,,,,,,,
113,Hungary,128,Debrecen,47.5299739,21.6393571,Northern Great Plain,,"Northern Hungary, Southern Great Plain, Crisana, Maramures, Central Hungary, Subcarpathia",https://www.erepublik.com/en/main/region/Northern-Great-Plain,,,Montenegro,,,,,,,,,,,,,,,,,,,,,,
114,Hungary,130,Szeged,46.2536169,20.1461345,Southern Great Plain,,"Southern Transdanubia, Northern Great Plain, Banat, Crisana, Central Hungary, Central Transdanubia, Vojvodina, Slavonia",https://www.erepublik.com/en/main/region/Southern-Great-Plain,,,Croatia,,,,,,,,,,,,,,,,,,,,,,
115,Mexico,53,Mexico City,19.4326077,-99.133208,Valley of Mexico,"Fish, Cattle","Oaxaca, Pacific Coast of Mexico, Northwest of Mexico, Northeast of Mexico, Gulf of Mexico",https://www.erepublik.com/en/main/region/Valley-of-Mexico,2.0,1771149008.0,Mexico,Lithuania,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870165,5.0,24.0,direct,50.0,0.0,1771154464.0,50.0,0.0,1771154464.0,50.0,0.0,1771154464.0,40.55,0.0,1771154464.0,45.2,0.0,
