region id,original country,city id,city,lat,lon,region,resources,neighbours,region link
129,Venezuela,286,San Juan de Los Morros,9.901082,-67.354408,Llanos,,"North Eastern Venezuela, Venezuelan Capital, Guayana, Central Venezuela, Orinoquia, Venezuelan Andean",https://www.erepublik.com/en/main/region/Llanos
130,Venezuela,287,Barcelona (Venezuela),10.1329999,-64.6919939,North Eastern Venezuela,"Deer, Sand, Magnesium","Llanos, Venezuelan Capital, Guayana",https://www.erepublik.com/en/main/region/North-Eastern-Venezuela
131,Venezuela,288,Maracaibo,10.64504,-71.637154,Zulian,,"Central Western Venezuela, Andina, Caribe e Insular, Venezuelan Andean",https://www.erepublik.com/en/main/region/Zulian
132,Ukraine,293,Uzhhorod,48.6208,22.287883,Subcarpathia,,"Eastern Slovakia, Galicia and Lodomeria, Maramures, Northern Great Plain, Little Poland, Northern Hungary, Bukovyna",https://www.erepublik.com/en/main/region/Subcarpathia
133,Ukraine,292,Lviv,49.839683,24.029717,Galicia and Lodomeria,,"Little Poland, Bukovyna, Volhynia, Subcarpathia, Podolia",https://www.erepublik.com/en/main/region/Galicia-and-Lodomeria
134,Ukraine,296,Rivne,50.6199,26.251617,Volhynia,,"Galicia and Lodomeria, Polisia, Little Poland, Podolia, Brestskaya, Homelskaya",https://www.erepublik.com/en/main/region/Volhynia
135,Ukraine,413,Zhytomyr,50.25465,28.658667,Polisia,,"Dnipro, Volhynia, Podolia, Siveria, Homelskaya",https://www.erepublik.com/en/main/region/Polisia
136,Ukraine,294,Kamianets-Podilskyi,48.6833333,26.5833333,Podolia,,"Polisia, Bukovyna, Galicia and Lodomeria, Northern Basarabia, Transnistria, Bassarabia, Zaporozhia, Dnipro, Volhynia",https://www.erepublik.com/en/main/region/Podolia
137,Ukraine,290,Chernivtsi,48.291683,25.935217,Bukovyna,,"Bucovina, Galicia and Lodomeria, Podolia, Maramures, Northern Basarabia, Subcarpathia",https://www.erepublik.com/en/main/region/Bukovyna
138,Ukraine,234,Kyiv,50.4501,30.5234,Dnipro,,"Siveria, Sloboda, Polisia, Podolia, Zaporozhia",https://www.erepublik.com/en/main/region/Dnipro
139,Ukraine,297,Chernihiv,51.4982,31.28935,Siveria,"Fish, Aluminum","Dnipro, Sloboda, Moscow and Central Russia, Central Black Earth, Polisia, Homelskaya",https://www.erepublik.com/en/main/region/Siveria
140,Ukraine,289,Odessa,46.484583,30.7326,Bassarabia,,"Transnistria, Dobrogea, Southern Basarabia, Podolia, Zaporozhia, Taurida",https://www.erepublik.com/en/main/region/Bassarabia
141,Ukraine,301,Zaporizhia,47.8388,35.139567,Zaporozhia,,"Donbas, Podolia, Sloboda, Dnipro, Bassarabia, Taurida",https://www.erepublik.com/en/main/region/Zaporozhia
142,Ukraine,298,Kharkiv,49.9935,36.230383,Sloboda,"Iron, Saltpeter, Aluminum, Oil","Central Black Earth, Siveria, Donbas, Dnipro, Zaporozhia",https://www.erepublik.com/en/main/region/Sloboda
143,Ukraine,299,Donetsk,48.015883,37.80285,Donbas,"Grain, Fruits, Cattle, Deer","North Caucasus, Sloboda, Zaporozhia, Central Black Earth, Taurida",https://www.erepublik.com/en/main/region/Donbas
144,Ukraine,302,Simferopol,44.948056,34.104167,Taurida,,"Donbas, Zaporozhia, North Caucasus, Black Sea Coast of Turkey, Varna, Bassarabia, Abkhazia, Dobrogea",https://www.erepublik.com/en/main/region/Taurida
146,Brazil,8,Brasilia,-15.7801482,-47.9291698,Center West of Brazil,,"Southeast of Brazil, Northeast of Brazil, North of Brazil, Paranena, Central East Chaco, Beni and Cochabamba, Santa Cruz, Parana and Santa Catarina",https://www.erepublik.com/en/main/region/Center-West-of-Brazil
147,Brazil,51,Manaus,-3.1064093,-60.0264297,North of Brazil,,"Center West of Brazil, Guayana, Canary Islands, Azores, Beni and Cochabamba, Pando, Southern Low Amazon, Northern Low Amazon, Amazonica, Northeast of Brazil",https://www.erepublik.com/en/main/region/North-of-Brazil
148,Brazil,303,Salvador,-12.9703817,-38.512382,Northeast of Brazil,"Deer, Saltpeter","Center West of Brazil, North of Brazil, Southeast of Brazil, South West States",https://www.erepublik.com/en/main/region/Northeast-of-Brazil
149,Brazil,42,Sao Paulo,-23.5475,-46.63611,Southeast of Brazil,"Fish, Iron","Center West of Brazil, Parana and Santa Catarina, Northeast of Brazil",https://www.erepublik.com/en/main/region/Southeast-of-Brazil
150,Brazil,304,Curitiba,-25.4283563,-49.2732515,Parana and Santa Catarina,"Grain, Fruits, Cattle, Deer","Southeast of Brazil, Mesopotamia, Rio Grande do Sul, Rio Grande do Sul, Paranena, Center West of Brazil, Northern Cape",https://www.erepublik.com/en/main/region/Parana-and-Santa-Catarina
151,Argentina,70,Buenos Aires,-34.6037232,-58.3815931,Pampas,"Iron, Saltpeter, Oil","Mesopotamia, Cuyo, Patagonia, Western Cape, Charrua, Argentine Northwest, South East Chaco, South South States",https://www.erepublik.com/en/main/region/Pampas
152,Argentina,305,San Miguel de Tucuman,-26.8082848,-65.2175903,Argentine Northwest,,"South East Chaco, Norte Grande, Norte Chico, Central East Chaco, Chuquisaca and Tarija, Bolivian Altiplano, Cuyo, Pampas",https://www.erepublik.com/en/main/region/Argentine-Northwest
153,Argentina,256,Formosa,-26.185201,-58.1753697,South East Chaco,,"Mesopotamia, Argentine Northwest, Paranena, Central East Chaco, Pampas",https://www.erepublik.com/en/main/region/South-East-Chaco
154,Argentina,258,Corrientes,-27.4712257,-58.8395844,Mesopotamia,"Cobalt, Titanium, Wolfram","South East Chaco, Pampas, Parana and Santa Catarina, Rio Grande do Sul, Charrua, Paranena",https://www.erepublik.com/en/main/region/Mesopotamia
155,Argentina,249,Mendoza,-32.890183,-68.8440498,Cuyo,,"Pampas, Patagonia, Norte Chico, Argentine Northwest, Zona Central",https://www.erepublik.com/en/main/region/Cuyo
156,Argentina,251,Neuquen,-38.9524444,-68.0641389,Patagonia,"Grain, Fruits, Cattle, Deer","Cuyo, Pampas, Zona Central, Zona Sur, Zona Austral",https://www.erepublik.com/en/main/region/Patagonia
157,Portugal,306,Lisbon,38.7252993,-9.1500364,Lisboa,"Fish, Fruits, Cattle, Deer","Alentejo, Centro, Madeira",https://www.erepublik.com/en/main/region/Lisboa
158,Portugal,307,Porto,41.1650559,-8.602816,Norte,,https://www.erepublik.com/en/main/region/Brittany,https://www.erepublik.com/en/main/region/Norte
159,Portugal,308,Coimbra,40.2065687,-8.4146177,Centro,,"Norte, Lisboa, Alentejo, Castilla y Leon, Extremadura",https://www.erepublik.com/en/main/region/Centro
160,Portugal,309,Evora,38.571431,-7.913502,Alentejo,Iron,"Lisboa, Algarve, Centro, Extremadura, Andalucia, Azores",https://www.erepublik.com/en/main/region/Alentejo
161,Portugal,310,Faro,37.0193548,-7.9304397,Algarve,,"Alentejo, Andalucia, Azores",https://www.erepublik.com/en/main/region/Algarve
162,Portugal,311,Ponta Delgada,37.7422417,-25.67495,Azores,Saltpeter,"Georgia, Algarve, Alentejo, Guayana, North of Brazil, Newfoundland and Labrador, Oriente",https://www.erepublik.com/en/main/region/Azores
163,Portugal,312,Funchal,32.6669328,-16.9240554,Madeira,"Grain, Aluminum, Oil, Granite","Canary Islands, Lisboa",https://www.erepublik.com/en/main/region/Madeira
166,Spain,14,Madrid,40.4166909,-3.7003454,Madrid,,"Castilla La Mancha, Castilla y Leon",https://www.erepublik.com/en/main/region/Madrid
167,Spain,80,Sevilla,37.38264,-5.9962951,Andalucia,"Saltpeter, Neodymium, Cobalt","Extremadura, Murcia, Algarve, Alentejo, Castilla La Mancha, Canary Islands",https://www.erepublik.com/en/main/region/Andalucia
168,Spain,84,Zaragoza,41.6568307,-0.8799101,Aragon,,"Catalonia, Navarra, Valencian Community, Castilla La Mancha, La Rioja",https://www.erepublik.com/en/main/region/Aragon
169,Spain,313,Oviedo,43.3602994,-5.844781,Asturias,,"Castilla y Leon, Cantabria, Galicia, Virginia",https://www.erepublik.com/en/main/region/Asturias
170,Spain,314,Vitoria Gasteiz,42.8467181,-2.6716351,Basque Country,,"La Rioja, Navarra, Cantabria, Castilla y Leon",https://www.erepublik.com/en/main/region/Basque-Country
171,Spain,315,Santander,43.4609602,-3.8079336,Cantabria,,"Basque Country, Asturias, Castilla y Leon, Virginia",https://www.erepublik.com/en/main/region/Cantabria
173,Spain,317,Valladolid,41.6529434,-4.7283811,Castilla y Leon,,"Asturias, Madrid, La Rioja, Basque Country, Centro, Norte, Extremadura, Cantabria, Galicia, Castilla La Mancha",https://www.erepublik.com/en/main/region/Castilla-Leon
174,Spain,77,Barcelona,41.387917,2.1699187,Catalonia,,"Aragon, Midi-Pyrenees, Languedoc Roussillon, Valencian Community, Balearic Islands",https://www.erepublik.com/en/main/region/Catalonia
175,Spain,318,Merida,38.9158586,-6.3456061,Extremadura,,"Andalucia, Castilla La Mancha, Centro, Alentejo, Castilla y Leon",https://www.erepublik.com/en/main/region/Extremadura
176,Spain,319,Santiago de Compostela,42.8804471,-8.5463034,Galicia,,"Asturias, Norte, Castilla y Leon, South Carolina, Georgia",https://www.erepublik.com/en/main/region/Galicia-Spain
177,Spain,79,Murcia,37.9834449,-1.1298897,Murcia,,"Valencian Community, Andalucia, Castilla La Mancha",https://www.erepublik.com/en/main/region/Murcia
178,Spain,320,Pamplona,42.8179879,-1.6441835,Navarra,,"La Rioja, Basque Country, Aragon, Aquitaine",https://www.erepublik.com/en/main/region/Navarra
